Time,Locations
2010-07-28 10:57:15.820000,00:09:42:00:19:a7
2010-07-28 10:57:16.460000,00:09:42:00:19:a7
2010-07-28 10:57:17.100000,00:09:42:00:19:a7
2010-07-28 10:57:17.740000,00:09:42:00:19:a7
2010-07-28 10:57:18.380000,00:09:42:00:19:a7
2010-07-28 10:57:19.020000,00:09:42:00:19:a7
2010-07-28 10:57:19.660000,00:09:42:00:19:a7
2010-07-28 10:57:20.300000,00:09:42:00:19:a7
2010-07-28 10:57:20.940000,00:09:42:00:19:a7
2010-07-28 10:57:21.580000,00:09:42:00:19:a7
2010-07-28 10:57:22.220000,00:09:42:00:19:a7
2010-07-28 10:57:22.860000,00:09:42:00:19:a7
2010-07-28 10:57:23.500000,00:09:42:00:19:a7
2010-07-28 10:57:24.140000,00:09:42:00:19:a7
2010-07-28 10:57:24.780000,00:09:42:00:19:a7
2010-07-28 10:57:25.420000,00:09:42:00:19:a7
2010-07-28 10:57:26.060000,00:09:42:00:19:a7
2010-07-28 10:57:26.700000,00:09:42:00:19:a7
2010-07-28 10:57:27.340000,00:09:42:00:19:a7
2010-07-28 10:57:27.980000,00:09:42:00:19:a7
2010-07-28 10:57:28.620000,00:09:42:00:19:a7
2010-07-28 10:57:29.260000,00:09:42:00:19:a7
2010-07-28 10:57:29.900000,00:09:42:00:19:a7
2010-07-28 10:57:30.540000,00:09:42:00:19:a7
2010-07-28 10:57:31.180000,00:09:42:00:19:a7
2010-07-28 10:57:31.820000,00:09:42:00:19:a7
2010-07-28 10:57:32.460000,00:09:42:00:19:a7
2010-07-28 10:57:33.100000,00:09:42:00:19:a7
2010-07-28 10:57:33.740000,00:09:42:00:19:a7
2010-07-28 10:57:34.380000,00:09:42:00:19:a7
2010-07-28 10:57:35.020000,00:09:42:00:19:a7
2010-07-28 10:57:35.660000,00:09:42:00:19:a7
2010-07-28 10:57:36.300000,00:09:42:00:19:a7
2010-07-28 10:57:36.940000,00:09:42:00:19:a7
2010-07-28 10:57:37.580000,00:09:42:00:19:a7
2010-07-28 10:57:38.220000,00:09:42:00:19:a7
2010-07-28 10:57:38.860000,00:09:42:00:19:a7
2010-07-28 10:57:39.500000,00:09:42:00:19:a7
2010-07-28 10:57:40.140000,00:09:42:00:19:a7
2010-07-28 10:57:40.780000,00:09:42:00:19:a7
2010-07-28 10:57:41.420000,00:09:42:00:19:a7
2010-07-28 10:57:42.060000,00:09:42:00:19:a7
2010-07-28 10:57:42.700000,00:09:42:00:19:a7
2010-07-28 10:57:43.340000,00:09:42:00:19:a7
2010-07-28 10:57:43.980000,00:09:42:00:19:a7
2010-07-28 10:57:44.620000,00:09:42:00:19:a7
