@relation 1811dataset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-138,88,1005,73,4,90,Down
-123,87,999,73,4,45,Down
-114,97,1002,73,20,45,Down
-123,91,1002,73,20,45,Down
-121,93,1004,73,4,45,Down
-133,82,1013,73,4,45,Down
-135,75,1014,73,4,45,Down
-141,69,1016,106,4,90,Down
-135,69,1023,90,-12,45,Down
-127,75,1022,73,-28,45,Down
-117,88,1017,73,-12,90,Down
-117,88,1023,90,-12,45,Down
-121,91,1020,90,-12,90,Down
-124,91,1019,73,-28,45,Down
-118,88,1020,73,-28,45,Down
-120,91,1026,73,-44,90,Down
-121,84,1026,73,-44,90,Down
-109,81,1022,73,-44,90,Down
-97,93,1016,73,-44,90,Down
-96,102,1017,90,-12,45,Down
-106,91,1025,90,4,45,Down
-114,88,1028,90,4,45,Down
-121,81,1028,106,20,0,Down
-130,81,1023,90,4,0,Down
-123,76,1026,90,-12,0,Down
-123,82,1023,106,-12,45,Down
-123,88,1023,106,-12,45,Down
-126,97,1013,90,-28,0,Down
-123,97,1014,90,-28,45,Down
-123,91,1014,90,-44,45,Down
-127,88,1014,90,-28,0,Down
-120,85,1025,73,-44,0,Down
-123,81,1028,90,-28,0,Down
-118,87,1023,90,-28,45,Down
-127,90,1017,90,-28,90,Down
-135,93,1008,90,-28,90,Down
-133,85,1005,73,-28,90,Down
-129,85,1013,73,-28,90,Down
-127,81,1014,90,-28,45,Down
-127,79,1020,73,-28,45,Down
-129,79,1016,90,-12,45,Down
-130,84,1011,90,-28,45,Down
-129,88,1016,73,-44,0,Down
-130,85,1014,90,-28,45,Down
-126,84,1013,90,-28,45,Down
-123,90,1010,90,-28,45,Down
-118,91,1004,90,-28,0,Down
-117,91,993,73,-28,45,Down
-103,97,998,73,-28,45,Down
-103,91,999,73,-12,45,Down
-117,87,1004,73,-12,45,Down
-120,87,1002,57,-12,45,Down
-115,88,1002,57,-12,45,Down
-120,87,1001,57,-12,0,Down
-117,82,1008,57,-28,0,Down
-118,81,1008,24,-44,181,Down
-123,73,1013,40,-28,0,Down
-117,78,1020,40,-28,0,Down
-120,81,1028,7,-61,-45,Down
-117,76,1037,7,-61,-45,Down
-121,70,1046,57,-28,0,Down
-129,79,1065,57,-28,0,Down
-141,70,1089,73,-44,45,Down
-148,58,1109,73,-44,45,Down
-144,45,1139,106,-61,45,Down
-145,39,1161,123,-61,45,Down
-139,31,1211,156,-61,90,Down
-142,19,1251,205,-61,90,Down
-121,4,1308,254,-44,135,Down
-117,-12,1365,337,-28,135,Down
-124,-27,1412,419,20,135,Down
-148,-42,1467,535,69,181,Down
-189,-78,1523,650,85,181,Down
-210,-113,1584,782,134,226,Down
-234,-132,1629,930,183,226,Down
-265,-146,1689,1111,232,271,Down
-339,-153,1725,1276,248,362,Down
-358,-144,1673,1490,281,362,Down
-355,-83,1604,1671,297,407,Down
-373,-11,1514,1836,297,452,Down
