@relation 1811teachset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-187,132,1010,90,-28,45,Down
-186,138,1014,73,-44,45,Down
-192,141,1014,90,-28,45,Down
-196,139,1014,57,-44,90,Down
-195,142,1010,73,-44,45,Down
-193,147,1008,73,-44,45,Down
-190,151,1005,90,-28,135,Down
-199,150,1004,57,-61,90,Down
-193,148,999,57,-61,45,Down
-196,151,998,90,-44,90,Down
-196,153,996,57,-77,90,Down
-193,150,990,73,-61,90,Down
-190,153,999,57,-77,45,Down
-196,145,1005,40,-77,90,Down
-196,147,1005,57,-77,90,Down
-192,148,1008,90,-44,90,Down
-198,145,1005,90,-44,90,Down
-196,142,999,73,-61,45,Down
-199,151,996,90,-28,90,Down
-205,151,993,73,-61,0,Down
-202,148,993,90,-44,90,Down
-202,150,998,73,-61,45,Down
-198,145,1005,57,-77,0,Down
-205,142,1002,73,-44,90,Down
-196,142,999,57,-61,0,Down
-192,151,996,73,-44,90,Down
-192,145,998,73,-44,45,Down
-193,145,1001,73,-44,90,Down
-189,145,998,73,-44,45,Down
-190,141,1001,73,-61,45,Down
-192,147,1004,73,-44,45,Down
-193,141,1001,73,-44,90,Down
-186,145,998,73,-44,45,Down
-183,154,1002,73,-44,90,Down
-195,150,995,73,-28,90,Down
-196,147,1001,73,-61,90,Down
-198,141,1007,90,-61,90,Down
-192,139,1008,73,-77,90,Down
-192,142,1008,90,-77,45,Down
-189,138,999,90,-61,0,Down
-181,147,998,73,-44,45,Down
-192,151,998,90,-44,45,Down
-190,150,996,90,-44,90,Down
-195,142,999,90,-44,90,Down
-193,136,1004,90,-44,90,Down
-204,141,1001,90,-44,90,Down
-204,139,1005,73,-61,45,Down
-204,142,999,90,-44,90,Down
-202,147,996,73,-61,45,Down
-195,145,998,90,-44,90,Down
-198,148,993,73,-61,45,Down
-195,148,996,90,-44,90,Down
-190,147,998,90,-44,90,Down
-195,150,999,73,-61,45,Down
-192,148,999,90,-44,90,Down
-193,150,993,73,-61,45,Down
-187,150,989,90,-28,135,Down
-193,156,993,73,-44,45,Down
-204,157,995,90,-44,90,Down
-196,156,995,73,-77,45,Down
-189,156,999,73,-61,90,Down
-189,154,996,73,-77,45,Down
-196,153,996,73,-61,90,Down
-192,151,999,90,-61,45,Down
-184,154,996,90,-28,90,Down
-187,151,993,90,-44,45,Down
-190,151,987,73,-28,90,Down
-195,154,990,90,-44,45,Down
-202,153,998,90,-44,90,Down
-196,145,1002,90,-44,45,Down
-196,145,1008,90,-44,45,Down
-196,148,1002,90,-44,90,Down
-196,145,993,90,-28,45,Down
-199,151,986,90,-28,135,Down
-198,154,986,106,-12,45,Down
-204,145,987,106,-12,90,Down
-205,151,989,106,-28,90,Down
-210,151,996,106,-12,135,Down
-205,156,990,106,-28,90,Down
-204,157,993,73,-28,135,Down
-207,159,993,90,-28,90,Down
-204,154,995,90,-44,90,Down
-199,156,993,90,-44,135,Down
-199,156,995,90,-44,135,Down
-196,156,996,90,-44,135,Down
-192,156,1002,90,-44,90,Down
-190,157,999,90,-44,135,Down
-192,160,1002,90,-44,90,Down
-196,159,999,73,-44,135,Down
-201,159,995,90,-44,90,Down
-195,165,990,90,-44,135,Down
-193,169,995,90,-44,90,Down
-187,160,999,73,-61,135,Down
-190,166,990,90,-28,90,Down
-192,165,995,73,-28,135,Down
-192,160,998,90,-28,90,Down
-205,156,993,73,-44,135,Down
-205,153,995,90,-44,90,Down
-204,151,995,73,-61,90,Down
-198,151,989,90,-44,90,Down
-199,157,986,90,-44,90,Down
-192,150,993,90,-44,45,Down
-193,157,989,90,-44,90,Down
-198,160,987,73,-28,90,Down
-198,163,987,90,-12,90,Down
-202,168,989,57,-44,90,Down
-199,165,990,90,-28,90,Down
-199,163,987,73,-44,90,Down
-199,169,987,90,-44,90,Down
-201,171,987,57,-61,90,Down
-196,171,993,90,-44,90,Down
-199,174,995,90,-44,90,Down
-192,177,996,73,-44,90,Down
-198,172,993,73,-28,90,Down
-198,175,989,40,-61,45,Down
-193,171,998,73,-44,90,Down
-193,165,1005,57,-77,0,Down
-195,163,1005,40,-61,45,Down
-196,165,1004,57,-61,45,Down
-201,160,1007,73,-61,90,Down
-198,160,1001,57,-77,45,Down
-196,163,1001,57,-61,90,Down
-196,165,1001,90,-44,90,Down
-192,163,1007,57,-61,45,Down
-201,165,1008,90,-44,90,Down
-196,162,1004,73,-44,90,Down
-195,162,1007,90,-28,135,Down
-199,163,1004,57,-61,45,Down
-198,163,1008,90,-44,135,Down
-190,160,1010,90,-44,90,Down
-198,153,1017,90,-61,90,Down
-196,160,1014,90,-44,181,Down
