@relation readyfile-weka.filters.unsupervised.attribute.Remove-R1

@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute Idle {Down,Idle,Up,Right,Left}

@data
267,148,966,57,-28,45,Down
267,150,968,73,-12,45,Down
269,147,969,73,-28,90,Down
264,145,965,73,-12,90,Down
272,145,963,73,-28,90,Down
267,147,966,73,-28,0,Down
276,150,965,73,-28,90,Down
272,148,966,73,-12,45,Down
273,144,960,90,4,135,Down
273,148,968,73,-12,45,Down
273,150,968,90,4,45,Down
266,145,966,73,-12,90,Down
266,145,968,90,-12,45,Down
267,147,962,90,-12,45,Down
264,145,972,90,-12,45,Down
266,145,968,90,-12,45,Down
269,138,966,90,-12,0,Down
270,147,969,90,-28,0,Down
275,147,965,90,-28,45,Down
273,150,965,90,-12,45,Down
269,148,966,90,-12,45,Down
272,148,966,57,-28,0,Down
266,145,968,73,-28,45,Down
273,145,972,57,-28,45,Down
273,148,968,73,-28,0,Down
272,142,966,90,-12,45,Down
275,145,963,73,-28,-45,Down
267,147,969,57,-44,45,Down
273,147,966,73,-12,90,Down
267,147,968,90,-12,45,Down
272,147,965,73,-12,45,Down
270,148,966,90,-12,45,Down
267,154,969,73,-28,90,Down
269,147,968,73,-28,45,Down
272,151,971,73,-28,90,Down
267,150,965,73,-28,45,Down
266,151,969,90,-12,45,Down
267,148,966,73,-12,90,Down
269,153,968,90,-12,45,Down
266,147,971,90,-12,0,Down
269,154,968,73,-28,0,Down
270,150,969,57,-28,0,Down
267,148,963,73,-12,45,Down
270,150,963,90,-12,0,Down
273,153,966,90,-12,90,Down
272,154,965,90,-12,45,Down
264,145,968,73,-28,45,Down
269,147,971,90,-12,45,Down
267,150,966,90,-12,45,Down
275,147,968,90,-12,45,Down
269,147,971,106,4,45,Down
267,148,962,90,-12,45,Down
267,151,966,90,4,90,Down
273,154,968,90,-28,0,Down
269,148,965,73,-12,0,Down
312,147,1067,-90,-44,90,Down
297,133,1073,-123,-61,90,Down
305,165,1056,-41,-28,45,Down
299,160,1074,-74,-28,90,Down
323,124,1077,-173,-110,135,Down
317,106,1074,-189,-126,135,Down
311,132,1077,-156,-93,90,Down
284,154,1002,24,-28,45,Down
294,151,1008,24,-28,45,Down
272,150,989,40,-28,45,Down
281,153,998,40,-28,45,Down
299,163,1032,-8,-28,45,Down
314,169,1043,-25,-28,45,Down
294,163,1016,7,-28,45,Down
326,60,1317,-535,-289,226,Down
374,51,1322,-585,-273,271,Down
248,61,1247,-420,-224,226,Down
308,78,1274,-469,-256,226,Down
438,1,1317,-684,-191,316,Down
446,-9,1335,-749,-159,362,Down
426,19,1314,-651,-240,271,Down
264,78,1134,-255,-159,135,Down
278,70,1143,-305,-175,181,Down
296,99,1085,-206,-142,135,Down
