@relation teachset-weka.filters.unsupervised.attribute.Remove-R1

@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute Idle {Down,Idle,Up,Right,Left}

@data
521,-294,1068,-387,118,-362,Idle
1505,81,1368,-568,-305,-905,Idle
1035,-126,1254,-585,36,-769,Idle
387,628,2014,485,379,135,Idle
311,816,2014,238,444,90,Idle
20,346,2014,749,20,45,Idle
218,460,2014,617,150,0,Idle
204,1380,2014,-1392,-256,407,Idle
1308,2045,2014,2248,-322,-3348,Idle
204,1045,2014,-189,379,181,Idle
167,1221,2014,-749,134,316,Idle
-250,-458,-501,-568,167,543,Idle
-277,-459,-439,-371,183,452,Idle
-243,-444,-634,-1046,85,633,Idle
-231,-452,-570,-799,118,543,Idle
2020,1504,2001,254,-680,-2851,Idle
2020,1989,2014,1062,-159,-3258,Idle
2020,607,1593,-815,-1056,-1674,Idle
2020,1071,1836,-420,-990,-2308,Idle
-345,-207,-831,-2545,493,995,Idle
-399,-294,-802,-2249,346,950,Idle
-175,16,-738,-3138,656,1086,Idle
-273,-107,-804,-2825,607,1086,Idle
-340,-417,-745,-1606,150,769,Idle
-283,-437,-694,-1310,118,724,Idle
-400,-380,-790,-1936,232,859,Idle
-2075,858,597,1737,1194,-4751,Idle
-2075,775,585,1572,1194,-4480,Idle
-1440,1191,828,2050,884,-4978,Idle
-1812,1002,752,1918,1162,-4978,Idle
-2047,619,612,1259,1064,-3710,Idle
-1905,600,605,1177,917,-3258,Idle
-2075,681,611,1408,1178,-4118,Idle
1353,1855,1844,2347,591,-4842,Idle
513,1663,1440,2231,281,-4978,Idle
2020,2045,2014,1803,379,-3891,Idle
2020,2045,2014,2297,640,-4435,Idle
-495,1498,1233,2231,297,-4978,Idle
-1048,1342,1049,2166,525,-4978,Idle
33,1614,1253,2248,167,-5023,Idle
-405,52,1010,419,-44,-1583,Idle
-382,63,1023,419,-44,-1719,Idle
-411,58,980,419,4,-1448,Idle
-420,51,992,436,-12,-1583,Idle
-358,103,1070,419,-61,-1991,Idle
-309,126,1089,419,-77,-2036,Idle
-375,73,1040,452,-12,-1764,Idle
-376,85,1055,436,-44,-1900,Idle
-454,-12,927,337,-12,-1131,Idle
-448,19,936,386,36,-1176,Idle
-459,-41,897,304,-44,-995,Idle
-465,-32,905,320,-44,-1040,Idle
-417,36,977,386,36,-1357,Idle
-403,51,980,419,36,-1357,Idle
-444,31,950,403,36,-1221,Idle
95,379,192,-4539,52,1176,Idle
108,298,-52,-4292,167,1176,Idle
201,604,882,-4852,4,1176,Idle
126,477,504,-4736,20,1176,Idle
42,210,-499,-3682,509,1086,Idle
-64,123,-643,-3418,623,1086,Idle
125,267,-280,-3995,346,1131,Idle
986,1441,2014,-3287,-827,950,Idle
1001,1332,2014,-3863,-583,995,Idle
347,1474,2014,-2067,-664,543,Idle
728,1491,2014,-2726,-893,724,Idle
539,948,1697,-4687,-93,1221,Idle
339,760,1286,-4835,-12,1221,Idle
804,1155,2014,-4358,-273,1176,Idle
167,498,1161,1012,-224,0,Idle
149,484,1077,979,-240,45,Idle
150,610,1539,996,-44,0,Idle
158,543,1322,1012,-175,0,Idle
87,457,1064,1012,-142,45,Idle
93,439,1029,1012,-93,45,Idle
132,481,1077,979,-224,45,Idle
101,480,1061,996,-191,45,Idle
269,1348,2014,-41,901,271,Idle
332,1134,2014,287,786,271,Idle
161,1762,2014,-1112,998,452,Idle
189,1558,2014,-519,1015,407,Idle
242,768,1902,848,281,45,Idle
191,694,1728,946,118,0,Idle
333,955,2014,535,640,181,Idle
293,834,2014,699,444,135,Idle
-52,1434,1487,2693,770,-4616,Idle
477,1774,2014,2858,819,-4480,Idle
-459,1615,1077,2841,346,-4751,Idle
-261,1503,987,2726,493,-4661,Idle
-1908,670,323,2083,525,-3303,Idle
-1869,598,327,1968,525,-2941,Idle
1038,2045,2014,2825,313,-4027,Idle
-1876,771,317,2215,509,-3620,Idle
168,406,936,1012,36,0,Idle
173,388,960,1012,69,45,Idle
104,429,971,1012,-44,45,Idle
132,417,956,1012,4,0,Idle
119,339,1001,996,134,45,Idle
147,328,998,1012,101,45,Idle
153,366,986,996,118,45,Idle
125,352,996,996,118,45,Idle
-108,-171,-412,-1211,313,543,Idle
-93,-155,-459,-1408,395,633,Idle
-91,-188,-297,-865,183,497,Idle
-109,-185,-351,-1030,248,497,Idle
-73,-89,-547,-2183,591,859,Idle
-51,-14,-564,-2463,640,995,Idle
-82,-137,-510,-1623,477,678,Idle
-76,-122,-529,-1870,542,769,Idle
-1579,1071,705,2594,558,-4480,Idle
-1291,1264,1059,2792,493,-4706,Idle
-1843,868,348,2330,542,-3937,Idle
-1714,958,473,2446,607,-4253,Idle
-61,-219,-162,-618,101,362,Idle
-79,-198,-231,-733,101,407,Idle
-826,1512,1304,2923,411,-4797,Idle
-52,-246,-100,-502,69,316,Idle
621,1353,1803,-4572,-664,1221,Idle
702,1651,2014,-4308,-615,1176,Idle
444,918,1014,-4605,-468,1221,Idle
545,1107,1434,-4638,-583,1221,Idle
278,2045,2014,-2479,379,633,Idle
177,1963,2014,-1754,786,543,Idle
608,1930,2014,-3830,-436,995,Idle
350,2045,2014,-3221,-159,859,Idle
141,267,-459,-3385,346,995,Idle
198,354,-240,-3715,199,950,Idle
17,91,-577,-2776,607,995,Idle
105,196,-535,-3089,509,995,Idle
209,570,293,-4325,-110,1040,Idle
312,735,621,-4506,-289,1176,Idle
179,436,18,-4044,36,995,Idle
-1312,1054,830,2347,460,-4932,Idle
-1629,847,687,2231,591,-4751,Idle
-429,1530,1463,2545,330,-5023,Idle
-894,1260,1197,2479,395,-5023,Idle
-1995,669,593,1886,803,-3846,Idle
-1969,595,621,1820,803,-3529,Idle
-1875,738,543,2100,689,-4480,Idle
-1989,708,530,1984,737,-4163,Idle
1968,2045,2014,1572,-452,-3439,Idle
1782,2045,2014,2133,-142,-3937,Idle
1857,1378,1722,-239,-1056,-2262,Idle
2016,1942,1910,650,-778,-2805,Idle
-40,1707,1376,2314,4,-4751,Idle
-117,1684,1364,2495,167,-4887,Idle
1241,1842,2014,2264,52,-4389,Idle
459,1696,1625,2215,101,-4661,Idle
33,-308,857,139,150,271,Idle
50,-329,830,139,183,271,Idle
-9,-299,890,123,101,362,Idle
11,-305,876,123,118,271,Idle
189,-432,752,57,264,271,Idle
264,-458,740,-8,264,271,Idle
75,-351,810,139,216,271,Idle
119,-395,783,106,248,271,Idle
-1734,384,575,1457,623,-2443,Idle
-1668,330,561,1309,558,-2036,Idle
-1848,531,627,1721,721,-3077,Idle
-1765,456,599,1605,689,-2715,Idle
-1,-278,917,90,36,271,Idle
-9,-293,912,123,69,362,Idle
-1578,286,569,1177,460,-1719,Idle
15,-266,927,90,20,271,Idle
-1071,-21,554,584,101,-90,Idle
-1074,-42,552,452,-12,135,Idle
-1074,39,566,848,313,-543,Idle
-1056,3,560,699,183,-362,Idle
84,-200,911,-25,-44,181,Idle
93,-192,921,-8,-28,181,Idle
80,-227,914,-8,-28,271,Idle
80,-210,908,-8,-28,226,Idle
-1554,438,543,1671,542,-1991,Idle
-1549,346,584,1523,542,-1719,Idle
-1642,550,333,1853,525,-2579,Idle
-1644,507,479,1754,509,-2262,Idle
-1203,139,567,1095,477,-995,Idle
-1132,87,576,963,395,-769,Idle
-1468,271,588,1391,542,-1448,Idle
-1315,192,569,1227,509,-1267,Idle
912,-278,908,-354,4,-407,Idle
1157,-288,966,-469,-191,-633,Idle
554,-275,843,-189,150,-135,Idle
708,-263,873,-239,118,-271,Idle
1700,244,1289,-931,-1219,-1176,Idle
1734,787,1481,-799,-1251,-1674,Idle
1407,-251,1061,-651,-534,-724,Idle
1601,-95,1172,-815,-909,-905,Idle
176,-255,900,40,134,135,Idle
225,-285,875,-25,150,135,Idle
110,-206,929,7,36,135,Idle
140,-225,921,7,69,135,Idle
366,-308,851,-107,167,90,Idle
450,-290,858,-140,183,-45,Idle
294,-309,858,-41,167,90,Idle
-265,90,1151,-634,-240,2308,Idle
-148,81,1160,-585,-273,2353,Idle
-396,87,1049,-717,-338,2262,Idle
-343,94,1110,-667,-289,2262,Idle
