"[7.083832, -126.554871]","[7.083832, -130.554871]","[5.083832, -131.554871]"
"[-15.916168, -111.554871]","[-15.916168, -109.554871]","[-12.916168, -108.554871]"
"[-15.916168, -111.554871]","[-12.916168, -108.554871]","[-13.916168, -114.554871]"
"[-16.916168, -118.554871]","[-16.916168, -115.554871]","[-13.916168, -114.554871]"
"[-16.916168, -118.554871]","[-13.916168, -114.554871]","[-10.916168, -125.554871]"
"[9.981201, -122.568871]","[9.083832, -125.554871]","[7.083832, -126.554871]"
"[12.083832, -101.554871]","[9.981201, -122.568871]","[-12.916168, -108.554871]"
"[12.083832, -101.554871]","[-12.916168, -108.554871]","[-13.916168, -105.554871]"
"[5.083832, -131.554871]","[6.050967, -133.508469]","[-5.916168, -140.554871]"
"[9.981201, -122.568871]","[7.083832, -126.554871]","[-10.916168, -125.554871]"
"[9.981201, -122.568871]","[-10.916168, -125.554871]","[-13.916168, -114.554871]"
"[9.981201, -122.568871]","[-13.916168, -114.554871]","[-12.916168, -108.554871]"
"[-5.916168, -140.554871]","[-10.918161, -129.555466]","[-10.916168, -125.554871]"
"[-5.916168, -140.554871]","[-10.916168, -125.554871]","[7.083832, -126.554871]"
"[-5.916168, -140.554871]","[7.083832, -126.554871]","[5.083832, -131.554871]"
"[66.083832, -116.554871]","[68.083832, -113.554871]","[71.083832, -115.554871]"
"[66.083832, -116.554871]","[71.083832, -115.554871]","[70.083832, -121.554871]"
"[71.083832, -115.554871]","[79.082375, -114.556564]","[70.083832, -121.554871]"
"[33.082142, -96.556419]","[43.083832, -91.554871]","[48.083832, -97.554871]"
"[33.082142, -96.556419]","[48.083832, -97.554871]","[52.083832, -104.554871]"
"[33.082142, -96.556419]","[52.083832, -104.554871]","[41.083832, -116.554871]"
"[33.082142, -96.556419]","[41.083832, -116.554871]","[35.083832, -108.554871]"
"[32.083832, -99.554871]","[28.083832, -102.554871]","[28.083832, -96.554871]"
"[32.083832, -99.554871]","[28.083832, -96.554871]","[31.083832, -98.554871]"
"[28.083832, -102.554871]","[30.065619, -107.270576]","[23.162663, -110.681931]"
"[28.083832, -102.554871]","[23.162663, -110.681931]","[14.931734, -99.700691]"
"[28.083832, -102.554871]","[14.931734, -99.700691]","[28.083832, -96.554871]"
"[61.083832, -117.554871]","[66.083832, -116.554871]","[70.083832, -121.554871]"
"[61.083832, -117.554871]","[70.083832, -121.554871]","[60.083832, -127.554871]"
"[61.083832, -117.554871]","[60.083832, -127.554871]","[55.083832, -122.554871]"
"[35.083832, -108.554871]","[32.083832, -99.554871]","[33.082142, -96.556419]"
"[48.252895, -135.613754]","[47.083832, -129.554871]","[55.083832, -122.554871]"
"[48.252895, -135.613754]","[55.083832, -122.554871]","[60.083832, -127.554871]"
"[53.083832, -121.554871]","[46.083832, -124.554871]","[41.083832, -116.554871]"
"[53.083832, -121.554871]","[41.083832, -116.554871]","[52.083832, -104.554871]"
"[53.083832, -121.554871]","[52.083832, -104.554871]","[57.083832, -110.554871]"
"[53.083832, -121.554871]","[57.083832, -110.554871]","[61.083832, -117.554871]"
"[32.083832, -99.554871]","[31.083832, -98.554871]","[33.082142, -96.556419]"
"[61.083832, -117.554871]","[55.083832, -122.554871]","[53.083832, -121.554871]"
"[-95.916168, -94.554871]","[-92.916168, -94.554871]","[-92.916168, -96.554871]"
"[-95.916168, -94.554871]","[-92.916168, -96.554871]","[-96.916168, -100.554871]"
"[-100.916092, -109.728256]","[-99.916168, -100.554871]","[-96.916168, -100.554871]"
"[-96.916168, -100.554871]","[-92.916168, -96.554871]","[-89.916168, -97.554871]"
"[-100.916092, -109.728256]","[-111.329277, -94.326355]","[-99.916168, -100.554871]"
"[-80.916115, -129.554779]","[-86.417267, -132.077789]","[-97.7304, -116.611763]"
"[-80.916115, -129.554779]","[-97.7304, -116.611763]","[-88.916168, -117.554871]"
"[-111.329277, -94.326355]","[-107.915703, -84.554649]","[-99.916168, -100.554871]"
"[-87.916168, -111.554871]","[-88.916168, -117.554871]","[-97.7304, -116.611763]"
"[-87.916168, -111.554871]","[-97.7304, -116.611763]","[-100.916092, -109.728256]"
"[-87.916168, -111.554871]","[-100.916092, -109.728256]","[-96.916168, -100.554871]"
"[-87.916168, -111.554871]","[-96.916168, -100.554871]","[-89.916168, -97.554871]"
"[-107.915703, -84.554649]","[-111.329277, -94.326355]","[-119.916168, -85.554871]"
"[-107.915703, -84.554649]","[-119.916168, -85.554871]","[-112.916168, -77.554871]"
"[-125.916168, -77.554871]","[-130.916168, -67.554871]","[-120.916168, -64.554871]"
"[-125.916168, -77.554871]","[-120.916168, -64.554871]","[-115.916168, -69.554871]"
"[-125.916168, -77.554871]","[-115.916168, -69.554871]","[-112.916168, -77.554871]"
